Date,Territory,Pair,Pre post trt,Fertilized,Territory width,Territory length,Territory horizontal area,Territory height,Surface area,Total Fish,Size class count,Fish size,Turf height 1,Turf height 2,Turf height 3,Turf height 4,Turf height 5
17-Jun,27,N,Pre-fertilization,Y,120,108,1.296,33,4.774228218,7,1,3,0.3,0.3,0.2,0.4,0.2
17-Jun,28,O,Pre-fertilization,N,218,75,1.635,43,6.619809329,4,4,14,0.5,0.6,1.3,0.8,1.8
17-Jun,29,O,Pre-fertilization,Y,179,120,2.148,51,8.338747917,5,2,8,0.3,0.4,0.4,1.6,1.3
17-Jun,29,O,Pre-fertilization,Y,179,120,2.148,51,8.338747917,5,2,14,0.3,0.4,0.4,1.6,1.3
17-Jun,29,O,Pre-fertilization,Y,179,120,2.148,51,8.338747917,5,1,12,0.3,0.4,0.4,1.6,1.3
17-Jun,30,A,Pre-fertilization,N,246,130,3.198,80,13.70073899,6,3,14,1.4,0.9,0.3,1.3,1.1
17-Jun,30,A,Pre-fertilization,N,246,130,3.198,80,13.70073899,6,2,12,1.4,0.9,0.3,1.3,1.1
17-Jun,30,A,Pre-fertilization,N,246,130,3.198,80,13.70073899,6,1,13,1.4,0.9,0.3,1.3,1.1
8-Jul,1,A,Post-fertilization,Y,135,120,1.62,57,6.751899754,8,4,12,0.2,1.5,0.3,0.5,0.2
8-Jul,1,A,Post-fertilization,Y,135,120,1.62,57,6.751899754,8,4,14,0.2,1.5,0.3,0.5,0.2
8-Jul,2,B,Post-fertilization,Y,215,70,1.505,62,7.247893295,3,3,13,0.3,1.3,1.3,1.2,0.3
8-Jul,3,B,Post-fertilization,N,120,90,1.08,46,4.504422253,2,1,14,0.2,0.3,1.4,0.7,0.2
8-Jul,3,B,Post-fertilization,N,120,90,1.08,46,4.504422253,2,1,6,0.2,0.3,1.4,0.7,0.2
9-Jul,4,C,Post-fertilization,Y,178,90,1.602,73,7.703577394,4,4,12,0.4,0.8,1.9,1.8,0.4
9-Jul,5,C,Post-fertilization,N,50,62,0.31,32,1.433400465,1,1,14,0.5,0.2,0.7,0.5,0.4
13-Jul,6,D,Post-fertilization,N,250,230,5.75,55,20.27087774,3,2,12,0.3,0.3,0.4,1.2,0.3
13-Jul,6,D,Post-fertilization,N,250,230,5.75,55,20.27087774,3,1,14,0.3,0.3,0.4,1.2,0.3
13-Jul,7,D,Post-fertilization,Y,152,50,0.76,60,4.329540818,1,1,14,0.3,0.3,1,0.3,0.2
13-Jul,8,E,Post-fertilization,Y,110,53,0.583,53,3.11178955,3,3,12,0.3,0.6,1.4,0.3,0.4
13-Jul,9,E,Post-fertilization,N,148,90,1.332,64,6.168092184,1,1,14,1.5,1.4,0.3,0.4,1.2
13-Jul,10,F,Post-fertilization,Y,105,50,0.525,56,2.990695507,3,1,14,0.4,1.1,1,1.5,1.8
13-Jul,10,F,Post-fertilization,Y,105,50,0.525,56,2.990695507,3,1,12,0.4,1.1,1,1.5,1.8
13-Jul,10,F,Post-fertilization,Y,105,50,0.525,56,2.990695507,3,1,6,0.4,1.1,1,1.5,1.8
13-Jul,11,F,Post-fertilization,N,120,71,0.852,52,3.983916231,6,5,12,0.4,0.4,1.3,1.1,1.2
13-Jul,11,F,Post-fertilization,N,120,71,0.852,52,3.983916231,6,1,4,0.4,0.4,1.3,1.1,1.2
13-Jul,12,G,Post-fertilization,N,182,149,2.7118,43,9.790839766,4,3,12,0.1,0.1,0.4,0.3,0.2
13-Jul,12,G,Post-fertilization,N,182,149,2.7118,43,9.790839766,4,1,4,0.1,0.1,0.4,0.3,0.2
13-Jul,13,G,Post-fertilization,Y,140,61,0.854,39,3.648284352,2,2,12,0.6,0.6,1,0.6,0.4
13-Jul,14,H,Post-fertilization,Y,85,60,0.51,55,2.764261323,6,2,14,0.3,0.8,0.2,0.3,0.3
13-Jul,14,H,Post-fertilization,Y,85,60,0.51,55,2.764261323,6,1,6,0.3,0.8,0.2,0.3,0.3
13-Jul,14,H,Post-fertilization,Y,85,60,0.51,55,2.764261323,6,1,8,0.3,0.8,0.2,0.3,0.3
13-Jul,15,H,Post-fertilization,N,140,118,1.652,60,6.998318075,2,2,12,0.1,0.4,0.3,0.4,0.4
